ID,Document reference,Publication year,Study case location,Spreading methods,Induced bank filtration,In-channel modifications,"Well, shaft, borehole recharge",Rainwater-runoff harvesting,Unspecified MAR type,Number of criteria used,Criteria category (main),Criteria category (specific),Criteria original,Criteria modified,Criteria weight,Criteria importance rank,Weight Assignment method,Decision rules,Constraint mapping,Constraint mapping parameters,Sensitivity Analysis,Water Source,Main objective of MAR,
3,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,7,Surface,Soils,Soil type,Soil type/Soil texture,17.9,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
3,"Krishnamurthy, 1996",1996,India,No,No,No,No,No,Yes,7,Aquifer,Storage/flow capacity,Lithology,Geology / Lithology,17.9,2,Rating method,WLC,Yes,Presence of surface water bodies,Yes,Nonspecific,Nonspecific,Yes
4,"Ghayoumian, 2007",2007,Iran,Yes,No,No,No,No,No,6,Surface,Soils,Infiltration rate,Hydrological soils,31.1,1,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 �mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
4,"Ghayoumian, 2007",2007,Iran,Yes,No,No,No,No,No,6,Aquifer,Storage capacity,Dry alluvial thickness,Unsaturated zone thickness,26.2,2,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 �mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
4,"Ghayoumian, 2007",2007,Iran,Yes,No,No,No,No,No,6,Water quality,Groundwater quality,Electrical Conductivity (groundwater),Groundwater - Salinity,19.7,4,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 �mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
4,"Ghayoumian, 2007",2007,Iran,Yes,No,No,No,No,No,6,Surface,Land use/ Land cover,Land use,Land use/Land cover,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 �mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
4,"Ghayoumian, 2007",2007,Iran,Yes,No,No,No,No,No,6,Surface,Geomorphological,Geomorphology,Geomorphology,NA,NA,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 �mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
4,"Ghayoumian, 2007",2007,Iran,Yes,No,No,No,No,No,6,Surface,Geomorphological,Slope,Slope,23.0,3,Boolean logic; Fuzzy membership,Fuzzy logic; Boolean logic,Yes,Slope (>8%); infiltration rate (<25 mm/h); Dry alluvial thickness (<20m); Electrical conductivity (>2250 �mhos/cm); Land Use (other than Range land),No,Stormwater/surface runoff,Agriculture; Domestic,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Management,Impact assessment,Distance to urban areas,Distance to urban areas,10.0,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Management,Economical,Distance to the supply well,Distance between water supply sources and MAR site,10.0,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Management,Economical,Distance to treatment plants,Distance between water supply sources and MAR site,20.0,1,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Management,Impact assessment,Distance to the roads,Distance to roads,10.0,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Surface,Land use/ Land cover,Land use,Land use/Land cover,20.0,1,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Water quality,General,Pollution risk,Pollution risk,10.0,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Aquifer,Storage capacity,Depth to groundwater,Groundwater level,10.0,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
5,"Riad, 2011",2011,Egypt,Yes,No,No,No,No,No,8,Surface,Geomorphological,Land Slope,Slope,10.0,2,Rating method; Boolean Logic,WLC; Boolean Logic,Yes,Slope (>5 degrees); Distance to urban areas (<2000m ); Distance to supply wells (<3000m); Distance to treatment plant (>1000m); Distance to roads (<500m); Depth to ground water (<15 m); Land use (other than bare land); pollution risk (other than low or medium),No,Treated wastewater,Agriculture; Domestic; Industrial,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Aquifer,Storage/flow capacity,Geology,Geology / Lithology,20.1,2,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Surface,Hydrography,Drainage density,Drainage density/Drainage intensity,7.0,5,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Surface,Geomorphological,Slope,Slope,13.5,4,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Surface,Soils,Soil texture,Soil type/Soil texture,4.0,7,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Aquifer,Flow capacity,Aquifer transmissivity,Aquifer transmissivity,6.4,6,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Aquifer,Storage capacity,Specific yield,Groundwater yields,6.4,6,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Surface,Land use/ Land cover,Land use/Land cover,Land use/Land cover,19.2,3,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
6,"Singh, 2013",2013,India,Yes,No,No,No,No,No,8,Surface,Geomorphological,Geomorphology,Geomorphology,23.5,1,Pairwise comparison method,AHP,No,NA,No,Stormwater/surface runoff,Agriculture; Domestic; Ecological,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Surface,Soils,Soil texture,Soil type/Soil texture,8.5,5,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Management,Impact assessment,Distance from residential areas,Distance to urban areas,23.6,1,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Aquifer,Storage capacity,Unsaturated zone depth,Unsaturated zone thickness,8.5,5,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Aquifer,Storage/flow capacity,Geology,Geology / Lithology,8.5,5,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Water quality,Groundwater quality,Groundwater quality for human consumption according to Tunisia Standards (Chlorides),Groundwater - Chloride,0.9,8,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Water quality,Groundwater quality,Groundwater quality for human consumption according to Tunisia Standards (Sulphates),Groundwater - Sulphates,1.9,7,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Water quality,Groundwater quality,Groundwater quality for human consumption according to Tunisia Standards (Salinity),Groundwater - Salinity,12.0,3,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Water quality,Groundwater quality,Groundwater quality for human consumption according to Tunisia Standards (Nitrates),Groundwater - Nitrates,3.0,6,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Surface,Soils,Soil salinity,Soil salinity,2.5,7,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Management,Economical,Elevation from waste treatment plant to land use,Elevation from water source to MAR site,9.8,4,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Surface,Land use/ Land cover,Land use and the cost of the land to apply the MAR,Land use/Land cover,2.2,7,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Management,Economical,Distance to waste water treatment plant,Distance between water supply sources and MAR site,17.4,2,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Surface,Geomorphological,Slope,Slope,1.2,8,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Management,Impact assessment,Distance from roads,Distance to roads,NA,NA,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
7,"Gdoura, 2015",2015,Tunisia,Yes,No,No,No,No,No,15,Management,Impact assessment,Distance from water bodies,Distance from water bodies,NA,NA,Pairwise comparison method; Fuzzy Logic,WLC,Yes,"Slope (>12%); soil texture (>10% clay); distance from water bodies (<500m); distance from residential areas (<200m); distance from roads (<50m); unsaturated zone depth (<5m); geology (clay, sandstone and limestone are not feasible) and groundwater quality (Salinity > 2.5 g/L, nitrates > 45 mg/L, Chlorides > 600 mg/L, sulphates > 600 mg/L, calcium > 300 mg/L for human)",Yes,Treated wastewater,Agriculture; Domestic; Recreation,No
8,"Zaidi, 2015",2015,Saudi Arabia,Yes,No,No,No,No,No,6,Surface,Soils,Soil texture,Soil type/Soil texture,NA,NA,Boolean logic,Boolean logic,NA,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
8,"Zaidi, 2015",2015,Saudi Arabia,Yes,No,No,No,No,No,6,Aquifer,Storage capacity,Vadose zone thickness,Unsaturated zone thickness,NA,NA,Boolean logic,Boolean logic,NA,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
8,"Zaidi, 2015",2015,Saudi Arabia,Yes,No,No,No,No,No,6,Aquifer,Storage/flow capacity,Type of water bearing formation (aquifer type),Hydrogeology,NA,NA,Boolean logic,Boolean logic,NA,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
8,"Zaidi, 2015",2015,Saudi Arabia,Yes,No,No,No,No,No,6,Water quality,Groundwater quality,Groundwater quality (Total Dissolved Solids),Groundwater quality,NA,NA,Boolean logic,Boolean logic,NA,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
8,"Zaidi, 2015",2015,Saudi Arabia,Yes,No,No,No,No,No,6,Surface,Land use/ Land cover,Land use/Land cover,Land use/Land cover,NA,NA,Boolean logic,Boolean logic,NA,"Slope (>5 degrees); Soil texture (loamy/Rocky, Sandy/Clay); Vadose zone thickness (<20 m or > 140 m); Ambient groundwater quality (TDS > 600 mg/L); Type of water bearing formation (Aquiclude, aquitard); Land use/ Land Cover (Urban, barren, rocks, agriculture)",No,Stormwater/surface runoff; Treated wastewater,Agriculture; Domestic; Industrial,No
